City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Wind Speed,Country,Date,Rain,Snow
207,Mochudi,-24.42,26.15,66.2,20,0,Clear,5.82,BW,2020-06-28 16:20:30,0.0,0
208,Tarrafal,15.28,-23.77,86.0,55,20,Clouds,21.92,CV,2020-06-28 16:20:30,0.0,0
209,Torres,-29.34,-49.73,59.36,64,3,Clear,4.74,BR,2020-06-28 16:16:13,0.0,0
210,Westport,41.14,-73.36,87.01,83,20,Clouds,5.82,US,2020-06-28 16:20:30,0.0,0
211,Constitucion,-35.33,-72.42,54.0,93,100,Rain,15.93,CL,2020-06-28 16:18:50,2.31,0
212,Zeya,53.75,127.27,59.5,86,85,Clouds,3.44,RU,2020-06-28 16:20:30,0.0,0
213,Mangan,27.52,88.53,77.22,55,72,Rain,1.01,IN,2020-06-28 16:20:30,0.27,0
214,Kota Tinggi,1.74,103.9,82.4,83,20,Clouds,3.36,MY,2020-06-28 16:20:30,0.0,0
215,Burnie,-41.07,145.92,44.01,92,14,Clouds,1.01,AU,2020-06-28 16:16:58,0.0,0
216,Kaifeng,34.79,114.35,73.4,83,98,Clouds,2.24,CN,2020-06-28 16:20:31,0.0,0
217,Dongsheng,39.82,109.98,64.2,76,16,Clouds,5.5,CN,2020-06-28 16:17:30,0.0,0
218,Nhulunbuy,-12.23,136.77,73.4,83,75,Clouds,6.93,AU,2020-06-28 16:20:31,0.0,0
219,Isangel,-19.55,169.27,69.51,81,37,Clouds,10.92,VU,2020-06-28 16:18:40,0.0,0
220,Lagoa,39.05,-27.98,68.43,91,100,Clouds,6.44,PT,2020-06-28 16:20:31,0.0,0
221,Praia Da Vitoria,38.73,-27.07,75.2,73,75,Clouds,6.55,PT,2020-06-28 16:20:31,0.0,0
222,Paengaroa,-37.82,176.42,48.0,97,2,Clear,1.99,NZ,2020-06-28 16:20:31,0.0,0
223,Mayo,38.89,-76.51,84.99,66,20,Clouds,3.36,US,2020-06-28 16:20:31,0.0,0
